id,mouse3.num,mouse3.neg.score,mouse3.neg.p.value,mouse3.neg.fdr,mouse3.neg.rank,mouse3.neg.goodsgrna,mouse3.neg.lfc,mouse4.noLmnb2_1.num,mouse4.noLmnb2_1.neg.score,mouse4.noLmnb2_1.neg.p.value,mouse4.noLmnb2_1.neg.fdr,mouse4.noLmnb2_1.neg.rank,mouse4.noLmnb2_1.neg.goodsgrna,mouse4.noLmnb2_1.neg.lfc,mouse7.num,mouse7.neg.score,mouse7.neg.p.value,mouse7.neg.fdr,mouse7.neg.rank,mouse7.neg.goodsgrna,mouse7.neg.lfc,mouse8.num,mouse8.neg.score,mouse8.neg.p.value,mouse8.neg.fdr,mouse8.neg.rank,mouse8.neg.goodsgrna,mouse8.neg.lfc,mean.sgrnas,median.lfc.all,p.wilcox,p.wilcox.bh
Trp53,5,1,1,1,13207,0,0.6266,5,0.9994,0.99867,0.999783,13189,0,0.89599,5,0.99995,0.99983,1,13205,0,0.45799,5,0.99999,0.99995,1,13203,0,0.76845,5,0.697525,0.000562178,0.045899084
Tsc1,5,1,1,1,13208,0,0.71657,5,0.99883,0.99732,0.999671,13178,0,0.4192,5,0.99897,0.99734,0.999608,13178,0,0.50294,5,1,0.99998,1,13206,0,0.61832,5,0.56063,0.000592825,0.045899084
Pten,5,0.99714,0.99182,0.99753,13132,0,0.68388,5,0.99938,0.99863,0.999783,13188,0,0.53628,5,0.63172,0.5341,0.962198,6923,0,0.54249,5,0.99233,0.97639,0.9895,13033,0,0.38584,5,0.539385,0.000614373,0.045899084
Cul5,5,1,0.99999,1,13202,0,0.6303,5,0.75515,0.69223,0.950762,9584,0,0.46469,5,0.95706,0.91841,0.984844,12313,0,0.6115,5,0.9375,0.87202,0.960112,11997,0,0.46633,5,0.538915,0.000586581,0.045899084
Ube2f,5,1,0.99999,1,13203,0,0.49539,5,0.99945,0.99877,0.999783,13191,0,0.56072,5,1,0.99998,1,13207,0,0.45285,5,0.9998,0.99912,1,13196,0,0.59465,5,0.528055,0.000588679,0.045899084
Cdkn1c,5,0.99895,0.99675,0.999703,13170,0,0.59272,5,0.99905,0.99784,0.999783,13181,0,0.69158,5,0.99924,0.99809,0.999677,13188,0,0.4432,5,0.98924,0.9695,0.98767,12963,0,0.4507,5,0.52171,0.000599095,0.045899084
Gpr146,5,0.80016,0.68486,0.955823,9414,0,0.47815,5,0.39134,0.36397,0.950762,4641,1,-0.30459,5,0.99835,0.99603,0.999578,13157,0,0.57392,5,0.97588,0.94065,0.977269,12713,0,0.49845,5,0.4883,0.056387642,0.298863552
Rb1,5,0.9988,0.99629,0.999703,13163,0,0.19966,5,0.96785,0.94364,0.981864,12693,0,0.50002,5,1,1,1,13208,0,0.62776,5,0.99998,0.99988,1,13202,0,0.44743,5,0.473725,0.001241094,0.045899084
Prkar1a,5,0.98157,0.9572,0.987707,12790,0,0.31362,5,0.33839,0.31884,0.950762,4032,1,0.5185,5,0.98696,0.97042,0.992055,12920,0,0.35455,5,0.99742,0.99116,0.996526,13134,0,0.51689,5,0.43572,0.00081084,0.045899084
Nf1,5,0.84125,0.73987,0.955823,10185,0,0.37546,5,0.40914,0.37656,0.950762,4869,1,0.48392,5,0.38547,0.33178,0.962198,3454,0,0.24514,5,0.99998,0.99988,1,13201,0,0.47842,5,0.42694,0.001034538,0.045899084
