id,mouse3.num,mouse3.pos.score,mouse3.pos.p.value,mouse3.pos.fdr,mouse3.pos.rank,mouse3.pos.goodsgrna,mouse3.pos.lfc,mouse4.noLmnb2_1.num,mouse4.noLmnb2_1.pos.score,mouse4.noLmnb2_1.pos.p.value,mouse4.noLmnb2_1.pos.fdr,mouse4.noLmnb2_1.pos.rank,mouse4.noLmnb2_1.pos.goodsgrna,mouse4.noLmnb2_1.pos.lfc,mouse7.num,mouse7.pos.score,mouse7.pos.p.value,mouse7.pos.fdr,mouse7.pos.rank,mouse7.pos.goodsgrna,mouse7.pos.lfc,mouse8.num,mouse8.pos.score,mouse8.pos.p.value,mouse8.pos.fdr,mouse8.pos.rank,mouse8.pos.goodsgrna,mouse8.pos.lfc,mean.sgrnas,median.lfc.all,p.wilcox,p.wilcox.bh
Trp53,5,9.32E-08,7.50E-07,0.00495,2,5,0.6266,5,4.10E-05,0.00030395,0.771452,5,4,0.89599,5,0.0020371,0.010189,1,97,3,0.45799,5,2.00E-08,3.75E-07,0.00495,1,4,0.76845,5,0.697525,0.000562178,0.045899084
Tsc1,5,2.92E-08,3.75E-07,0.00495,1,5,0.71657,5,0.022418,0.078324,1,764,3,0.4192,5,4.37E-06,4.09E-05,0.159653,2,4,0.50294,5,2.78E-05,0.00018027,0.476238,5,4,0.61832,5,0.56063,0.000592825,0.045899084
Pten,5,1.45E-07,1.12E-06,0.00495,3,4,0.68388,5,0.0041691,0.01858,1,188,3,0.53628,5,2.96E-05,0.00025822,0.428893,6,3,0.54249,5,0.00038111,0.0025212,1,25,3,0.38584,5,0.539385,0.000614373,0.045899084
Cul5,5,1.36E-05,0.00010906,0.144059,10,3,0.6303,5,0.0069863,0.026728,1,284,3,0.46469,5,5.11E-06,4.46E-05,0.159653,3,4,0.6115,5,0.00013548,0.0016592,1,15,3,0.46633,5,0.538915,0.000586581,0.045899084
Ube2f,5,7.48E-06,5.58E-05,0.105375,7,4,0.49539,5,0.00047209,0.0023982,0.992876,27,4,0.56072,5,5.53E-06,4.83E-05,0.159653,4,3,0.45285,5,3.85E-06,3.26E-05,0.107673,4,4,0.59465,5,0.528055,0.000588679,0.045899084
Cdkn1c,5,3.41E-07,3.37E-06,0.008911,5,3,0.59272,5,0.0012465,0.0074998,1,69,3,0.69158,5,8.18E-05,0.000648,0.604235,12,4,0.4432,5,5.53E-05,0.0003879,0.525248,9,3,0.4507,5,0.52171,0.000599095,0.045899084
Gpr146,5,0.0029782,0.011107,1,100,2,0.47815,5,0.0037855,0.017113,1,173,1,-0.30459,5,2.29E-05,0.00019976,0.428893,5,4,0.57392,5,0.00088599,0.0044828,1,53,3,0.49845,5,0.4883,0.056387642,0.298863552
Rb1,5,0.0042775,0.013229,1,136,2,0.19966,5,0.0019987,0.011448,1,108,4,0.50002,5,2.39E-07,5.62E-06,0.074257,1,5,0.62776,5,0.0012613,0.0057645,1,71,3,0.44743,5,0.473725,0.001241094,0.045899084
Prkar1a,5,0.00045207,0.0026883,1,32,1,0.31362,5,0.0045215,0.01944,1,199,3,0.5185,5,0.00024085,0.0012027,0.756565,20,3,0.35455,5,9.26E-05,0.00065549,0.666032,13,3,0.51689,5,0.43572,0.00081084,0.045899084
Nf1,5,0.00071153,0.0045922,1,43,2,0.37546,5,0.001599,0.0089164,1,92,4,0.48392,5,0.18098,0.26139,1,2341,1,0.24514,5,6.00E-05,0.00039764,0.525248,10,4,0.47842,5,0.42694,0.001034538,0.045899084
Tsc2,5,4.22E-05,0.00024848,0.252475,13,3,0.48978,5,0.056992,0.14678,1,1487,2,0.29308,5,0.00011029,0.00077842,0.604235,17,2,0.35241,5,4.50E-05,0.00031519,0.525248,7,3,0.56991,5,0.421095,0.000863856,0.045899084
Cdkn1b,5,5.42E-05,0.00030245,0.269637,14,3,0.54633,5,0.019498,0.067418,1,687,2,0.37481,5,0.26299,0.35322,1,3281,1,0.12735,5,0.00095244,0.0047391,1,59,3,0.46582,5,0.420315,0.00263472,0.050059466
Arih2,5,1.70E-07,1.87E-06,0.006188,4,5,0.513,5,0.023859,0.081806,1,816,3,0.42094,5,0.0092036,0.029777,1,267,2,0.35102,5,0.00046122,0.0027415,1,31,2,0.4079,5,0.41442,0.000737238,0.045899084
Fbxo11,5,0.078814,0.11932,1,1094,1,0.18604,5,0.024121,0.082475,1,825,3,0.38642,5,0.00061734,0.0027393,0.955666,36,3,0.41212,5,0.036761,0.10006,1,854,2,0.41816,5,0.39927,0.001623958,0.045899084
Ncor1,5,0.48528,0.59246,1,5983,0,0.14161,5,0.11401,0.23482,1,2439,2,0.44236,5,0.00067931,0.0030421,0.955666,41,3,0.49344,5,0.30405,0.40923,1,3770,0,0.35313,5,0.397745,0.002386127,0.048441277
Znrf3,5,0.00023741,0.001893,1,23,3,0.40349,5,0.012979,0.048375,1,476,3,0.45146,5,0.013319,0.041121,1,355,1,0.24434,5,0.039485,0.10767,1,919,2,0.37223,5,0.38786,0.001111624,0.045899084
Nprl3,5,0.00062299,0.0041762,1,38,3,0.38925,5,0.013732,0.050627,1,497,2,0.3734,5,0.14484,0.21924,1,1963,1,0.16323,5,1.35E-06,1.46E-05,0.064356,3,5,0.5943,5,0.381325,0.001926217,0.046341477
Nf2,5,0.18648,0.24288,1,2325,1,0.27752,5,0.28591,0.40513,1,4365,1,0.056377,5,3.06E-05,0.00026197,0.428893,7,4,0.55225,5,0.00010026,0.00071471,0.674328,14,4,0.46013,5,0.368825,0.007177411,0.086574647
Ifngr2,5,0.010731,0.030934,1,269,2,0.37573,5,0.24599,0.38172,1,4031,1,0.36461,5,0.0025752,0.012259,1,121,2,0.36108,5,0.11023,0.17171,1,1614,1,-0.057151,5,0.362845,0.023171027,0.183526166
Stk11,5,0.21875,0.28962,1,2701,0,0.21375,5,0.058021,0.14807,1,1504,2,0.32581,5,0.00073254,0.0032055,0.955666,44,3,0.39067,5,7.45E-07,6.37E-06,0.042079,2,5,0.54917,5,0.35824,0.001398915,0.045899084
Acvr2a,5,0.14901,0.1952,1,1893,1,0.35715,5,0.017391,0.059879,1,619,2,0.33817,5,0.0063265,0.021868,1,201,2,0.42956,5,0.00093668,0.0046934,1,57,2,0.3575,5,0.357325,0.000893677,0.045899084
Rnase12,5,0.023667,0.062346,1,510,1,0.11297,5,0.0093913,0.033414,1,367,3,0.49697,5,0.069132,0.13966,1,1177,1,0.25472,5,0.0028169,0.013823,1,129,3,0.45967,5,0.357195,0.004110687,0.061503991
Ube2m,5,0.0041734,0.013144,1,131,2,0.32618,5,0.51062,0.57634,1,6567,1,0.19279,5,0.00095493,0.0042729,1,51,3,0.38686,5,5.41E-05,0.0003849,0.525248,8,4,0.45765,5,0.35652,0.001689214,0.045899084
Zfhx2,5,0.0058377,0.018399,1,163,2,0.40708,5,0.0024893,0.014255,1,135,3,0.53573,5,0.22199,0.30745,1,2806,1,0.30586,5,0.47194,0.59339,1,5813,0,0.14237,5,0.35647,0.00264169,0.050059466
